"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2024",40.707,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-64","2024",44.247,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2024",23.164,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2024",44.381,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2024",67.396,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-64","2024",72.632,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2024",35.817,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2024",74.388,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2024",14.106,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-64","2024",15.583,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2024",9.315,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2024",15.053,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2024",40.707,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2024",23.164,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2024",53.863,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2024",27.572,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2024",8.218,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2024",67.396,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2024",35.817,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2024",89.445,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2024",47.723,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2024",15.937,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2024",14.106,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2024",9.315,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2024",19.252,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y55-64","2024",5.814,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE65","2024",1.393,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE15","2024",40.707,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y15-24","2024",23.164,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y25-34","2024",55.632,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y35-44","2024",55.547,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y45-54","2024",49.925,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y55-64","2024",27.572,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE65","2024",8.218,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE15","2024",67.396,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y15-24","2024",35.817,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y25-34","2024",89.202,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y35-44","2024",93.27,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y45-54","2024",84.716,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y55-64","2024",47.723,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE65","2024",15.937,,,,"R1:3513"
"IRN","BA:675","EAP_DWAP_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE15","2024",14.106,,,,"R1:3513"
