"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2024",4953.561,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2024",712.555,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2024",109.352,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2024",5067.437,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2024",728.936,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2024",111.866,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2024",4325.497,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2024",622.21,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2024",95.487,"B",,"T30:15_I11:264","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2023",3889.176,,,"T30:15","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2023",697.046,,,"T30:15","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2023",126.988,,,"T30:15","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2023",3976.351,,,"T30:15","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2023",712.67,,,"T30:15","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2023",129.834,,,"T30:15","R1:3513"
"EGY","BA:582","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2023",3385.253,,,"T30:15","R1:3513"
