"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2025",39486.797,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2025",2225.313,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2025",1000.811,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2025",41313.469,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2025",2328.256,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2025",1047.109,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2025",35996.576,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2025",2028.618,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2025",912.349,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2024",28173.303,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2024",2244.586,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2024",858.789,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2024",29399.347,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2024",2342.266,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2024",896.161,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2024",25797.003,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2024",2055.264,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2024",786.354,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2023",14445.936,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2023",1877.056,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2023",608.543,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2023",15032.96,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2023",1953.331,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2023",633.272,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2023",13288.283,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2023",1726.634,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2023",559.776,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",6804.076,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",1399.086,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",411.151,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2022",7024.576,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2022",1444.426,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2022",424.475,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2022",6352.613,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2022",1306.254,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2022",383.87,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",4025.438,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",1308.458,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",454.831,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2021",4138.465,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2021",1345.197,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2021",467.602,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2021",3776.37,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2021",1227.5,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2021",426.689,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",3426.625,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",1351.278,,,"T30:208","R1:3513"
"TUR","BA:622","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",488.917,,,"T30:208","R1:3513"
