"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2024",45.104,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-64","2024",47.012,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2024",24.329,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2024",52.889,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2024",68.096,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-64","2024",71.075,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2024",35.856,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2024",81.427,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2024",20.993,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-64","2024",21.85,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2024",10.28,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2024",24.597,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2024",45.104,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2024",24.329,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2024",59.581,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2024",40.707,"B",,"I11:264","R1:3513"
