"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2024",37.601,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-64","2024",40.813,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2024",18.495,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2024",41.602,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2024",63.193,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-64","2024",68.021,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2024",29.47,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2024",70.659,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2024",12.093,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-64","2024",13.338,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2024",6.482,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2024",13.203,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2024",37.601,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2024",18.495,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2024",50.2,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2024",26.894,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2024",8.119,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2024",63.193,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2024",29.47,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2024",84.607,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2024",46.499,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2024",15.736,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2024",12.093,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2024",6.482,,,,"R1:3513"
"IRN","BA:675","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2024",16.732,,,,"R1:3513"
