"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2025",49.049,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-64","2025",54.99,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2025",40.311,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2025",50.881,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2025",66.388,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-64","2025",73.026,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2025",53.041,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2025",69.34,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2025",32.079,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-64","2025",36.775,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2025",26.69,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2025",33.149,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2025",49.049,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2025",40.311,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2025",63.614,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2025",38.247,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2025",12.501,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2025",66.388,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2025",53.041,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2025",83.754,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2025",55.177,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2025",20.411,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2025",32.079,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2025",26.69,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2025",43.498,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y55-64","2025",21.636,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE65","2025",6.126,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE15","2025",49.049,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y15-24","2025",40.311,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y25-34","2025",64.266,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y35-44","2025",67.004,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y45-54","2025",59.155,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y55-64","2025",38.247,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE65","2025",12.501,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE15","2025",66.388,,,,"R1:3513"
"TUR","BA:622","EMP_DWAP_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y15-24","2025",53.041,,,,"R1:3513"
