"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2024",0.687,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2024",1.018,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2024",0.63,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2024",0.692,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2024",1.099,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2024",0.618,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2024",0.671,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2024",0.677,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2024",0.67,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2024",0.687,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2024",1.018,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2024",0.648,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2024",0.505,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2024",0.66,"U",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2024",0.692,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2024",1.099,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2024",0.627,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2024",0.55,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2024",0.648,"U",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2024",0.671,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2024",0.677,"B",,"I11:264","R1:3513"
"EGY","BA:582","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2024",0.717,"B",,"I11:264","R1:3513"
