"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2024",6.276,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2024",8.188,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2024",6.098,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2024",6.166,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2024",7.841,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2024",6.012,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2024",6.847,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2024",9.915,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2024",6.549,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2024",6.276,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2024",8.188,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2024",6.234,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2024",5.633,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2024",2.971,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2024",6.166,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2024",7.841,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2024",6.112,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2024",5.894,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2024",3.027,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2024",6.847,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2024",9.915,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2024",6.828,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y55-64","2024",3.35,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE65","2024",2.407,"U",,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE15","2024",6.276,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y15-24","2024",8.188,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y25-34","2024",6.582,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y35-44","2024",6.328,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y45-54","2024",5.766,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y55-64","2024",5.633,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE65","2024",2.971,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE15","2024",6.166,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y15-24","2024",7.841,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y25-34","2024",6.373,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y35-44","2024",6.088,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y45-54","2024",5.914,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y55-64","2024",5.894,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE65","2024",3.027,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE15","2024",6.847,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y15-24","2024",9.915,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y25-34","2024",7.458,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y35-44","2024",7.493,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y45-54","2024",4.88,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y55-64","2024",3.35,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE65","2024",2.407,"U",,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2023",6.611,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2023",8.021,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2023",6.484,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2023",6.564,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2023",7.798,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2023",6.454,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2023",6.855,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2023",9.136,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2023",6.641,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2023",6.611,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2023",8.021,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2023",6.637,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2023",5.8,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2023",3.413,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2023",6.564,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2023",7.798,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2023",6.595,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2023",5.961,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2023",3.46,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2023",6.855,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2023",9.136,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2023",6.845,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y55-64","2023",4.421,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE65","2023",2.95,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE15","2023",6.611,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y15-24","2023",8.021,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y25-34","2023",7.31,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y35-44","2023",6.644,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y45-54","2023",5.91,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y55-64","2023",5.8,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE65","2023",3.413,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE15","2023",6.564,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y15-24","2023",7.798,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y25-34","2023",7.155,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y35-44","2023",6.575,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y45-54","2023",6.057,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y55-64","2023",5.961,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE65","2023",3.46,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE15","2023",6.855,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y15-24","2023",9.136,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y25-34","2023",7.983,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y35-44","2023",6.982,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y45-54","2023",5.047,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y55-64","2023",4.421,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE65","2023",2.95,,,,"R1:3513"
"IRN","BA:675","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2022",7.449,,,,"R1:3513"
