"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2025",8.753,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2025",9.407,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2025",8.645,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2025",8.029,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2025",8.795,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2025",7.9,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2025",10.22,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2025",10.708,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2025",10.142,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2025",8.753,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2025",9.407,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2025",8.698,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2025",9.275,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2025",5.735,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE15","2025",8.029,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y15-24","2025",8.795,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y25-54","2025",7.796,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_Y55-64","2025",9.124,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_AGGREGATE_YGE65","2025",6.29,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE15","2025",10.22,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y15-24","2025",10.708,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y25-54","2025",10.433,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_Y55-64","2025",9.653,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_AGGREGATE_YGE65","2025",4.245,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE15","2025",8.753,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y15-24","2025",9.407,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y25-34","2025",8.156,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y35-44","2025",8.814,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y45-54","2025",9.199,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_Y55-64","2025",9.275,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_10YRBANDS_YGE65","2025",5.735,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE15","2025",8.029,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y15-24","2025",8.795,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y25-34","2025",7.061,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y35-44","2025",7.921,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y45-54","2025",8.496,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_Y55-64","2025",9.124,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_10YRBANDS_YGE65","2025",6.29,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE15","2025",10.22,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y15-24","2025",10.708,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y25-34","2025",10.201,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y35-44","2025",10.519,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y45-54","2025",10.612,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_Y55-64","2025",9.653,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_10YRBANDS_YGE65","2025",4.245,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE15","2024",7.027,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_Y15-24","2024",7.89,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_YTHADULT_YGE25","2024",6.885,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE15","2024",6.581,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_Y15-24","2024",7.577,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_M","AGE_YTHADULT_YGE25","2024",6.415,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE15","2024",7.927,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_Y15-24","2024",8.545,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_F","AGE_YTHADULT_YGE25","2024",7.828,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE15","2024",7.027,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y15-24","2024",7.89,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y25-54","2024",6.951,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_Y55-64","2024",7.233,,,,"R1:3513"
"TUR","BA:622","EMP_XTRU_SEX_AGE_RT","SEX_T","AGE_AGGREGATE_YGE65","2024",4.477,,,,"R1:3513"
