date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source
1959-12-23,1338-10-01,1338,10,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-01-22,1338-11-01,1338,11,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-02-21,1338-12-01,1338,12,beef,0.77,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-03-21,1339-01-01,1339,1,beef,0.84,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-04-21,1339-02-01,1339,2,beef,0.76,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-05-22,1339-03-01,1339,3,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-06-22,1339-04-01,1339,4,beef,0.75,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-07-23,1339-05-01,1339,5,beef,0.78,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-08-23,1339-06-01,1339,6,beef,0.81,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-09-23,1339-07-01,1339,7,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-10-23,1339-08-01,1339,8,beef,0.63,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-11-22,1339-09-01,1339,9,beef,0.67,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1960-12-22,1339-10-01,1339,10,beef,0.64,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-01-21,1339-11-01,1339,11,beef,0.64,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-02-20,1339-12-01,1339,12,beef,0.78,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-03-21,1340-01-01,1340,1,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-04-21,1340-02-01,1340,2,beef,0.64,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-05-22,1340-03-01,1340,3,beef,0.68,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-06-22,1340-04-01,1340,4,beef,0.67,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-07-23,1340-05-01,1340,5,beef,0.69,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-08-23,1340-06-01,1340,6,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-09-23,1340-07-01,1340,7,beef,0.67,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-10-23,1340-08-01,1340,8,beef,0.64,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-11-22,1340-09-01,1340,9,beef,0.72,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1961-12-22,1340-10-01,1340,10,beef,0.76,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-01-21,1340-11-01,1340,11,beef,0.76,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-02-20,1340-12-01,1340,12,beef,0.71,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-03-21,1341-01-01,1341,1,beef,0.65,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-04-21,1341-02-01,1341,2,beef,0.73,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-05-22,1341-03-01,1341,3,beef,0.79,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-06-22,1341-04-01,1341,4,beef,0.76,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-07-23,1341-05-01,1341,5,beef,0.75,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-08-23,1341-06-01,1341,6,beef,0.8,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-09-23,1341-07-01,1341,7,beef,0.68,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-10-23,1341-08-01,1341,8,beef,0.59,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-11-22,1341-09-01,1341,9,beef,0.6,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1962-12-22,1341-10-01,1341,10,beef,0.57,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-01-21,1341-11-01,1341,11,beef,0.56,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-02-20,1341-12-01,1341,12,beef,0.56,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-03-21,1342-01-01,1342,1,beef,0.65,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-04-21,1342-02-01,1342,2,beef,0.69,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-05-22,1342-03-01,1342,3,beef,0.69,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-06-22,1342-04-01,1342,4,beef,0.76,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-07-23,1342-05-01,1342,5,beef,0.83,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-08-23,1342-06-01,1342,6,beef,0.7,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-09-23,1342-07-01,1342,7,beef,0.67,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-10-23,1342-08-01,1342,8,beef,0.63,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
1963-11-22,1342-09-01,1342,9,beef,0.69,USD per kg,Stooq/Yahoo + World Bank Pink Sheet (Jalali-month mean)
