date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,country_iso3,description,ilo_source
1990-01-01,,1369,,earnings_lcu_egy,238.15,LCU per month,ILOSTAT (rplumber.ilo.org),1990,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1991-01-01,,1370,,earnings_lcu_egy,255.47,LCU per month,ILOSTAT (rplumber.ilo.org),1991,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1992-01-01,,1371,,earnings_lcu_egy,277.12,LCU per month,ILOSTAT (rplumber.ilo.org),1992,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1993-01-01,,1372,,earnings_lcu_egy,329.08,LCU per month,ILOSTAT (rplumber.ilo.org),1993,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1994-01-01,,1373,,earnings_lcu_egy,355.06,LCU per month,ILOSTAT (rplumber.ilo.org),1994,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1995-01-01,,1374,,earnings_lcu_egy,381.04,LCU per month,ILOSTAT (rplumber.ilo.org),1995,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1996-01-01,,1375,,earnings_lcu_egy,428.67,LCU per month,ILOSTAT (rplumber.ilo.org),1996,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1997-01-01,,1376,,earnings_lcu_egy,463.31,LCU per month,ILOSTAT (rplumber.ilo.org),1997,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1998-01-01,,1377,,earnings_lcu_egy,489.29,LCU per month,ILOSTAT (rplumber.ilo.org),1998,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
1999-01-01,,1378,,earnings_lcu_egy,619.19,LCU per month,ILOSTAT (rplumber.ilo.org),1999,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2000-01-01,,1379,,earnings_lcu_egy,701.46,LCU per month,ILOSTAT (rplumber.ilo.org),2000,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2001-01-01,,1380,,earnings_lcu_egy,666.82,LCU per month,ILOSTAT (rplumber.ilo.org),2001,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2002-01-01,,1381,,earnings_lcu_egy,705.79,LCU per month,ILOSTAT (rplumber.ilo.org),2002,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2003-01-01,,1382,,earnings_lcu_egy,753.42,LCU per month,ILOSTAT (rplumber.ilo.org),2003,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2004-01-01,,1383,,earnings_lcu_egy,822.7,LCU per month,ILOSTAT (rplumber.ilo.org),2004,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2005-01-01,,1384,,earnings_lcu_egy,896.31,LCU per month,ILOSTAT (rplumber.ilo.org),2005,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2006-01-01,,1385,,earnings_lcu_egy,991.57,LCU per month,ILOSTAT (rplumber.ilo.org),2006,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2007-01-01,,1386,,earnings_lcu_egy,1091.16,LCU per month,ILOSTAT (rplumber.ilo.org),2007,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,CA:1102
2008-01-01,,1387,,earnings_lcu_egy,71.235,LCU per month,ILOSTAT (rplumber.ilo.org),2008,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2009-01-01,,1388,,earnings_lcu_egy,240.272,LCU per month,ILOSTAT (rplumber.ilo.org),2009,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2010-01-01,,1389,,earnings_lcu_egy,760.359,LCU per month,ILOSTAT (rplumber.ilo.org),2010,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2011-01-01,,1390,,earnings_lcu_egy,953.332,LCU per month,ILOSTAT (rplumber.ilo.org),2011,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2012-01-01,,1391,,earnings_lcu_egy,1296.577,LCU per month,ILOSTAT (rplumber.ilo.org),2012,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2013-01-01,,1392,,earnings_lcu_egy,1398.949,LCU per month,ILOSTAT (rplumber.ilo.org),2013,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2015-01-01,,1394,,earnings_lcu_egy,1816.641,LCU per month,ILOSTAT (rplumber.ilo.org),2015,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2016-01-01,,1395,,earnings_lcu_egy,1961.061,LCU per month,ILOSTAT (rplumber.ilo.org),2016,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
2017-01-01,,1396,,earnings_lcu_egy,2153.413,LCU per month,ILOSTAT (rplumber.ilo.org),2017,EAR_EMTA_SEX_CUR_NB_A,EGY,Average monthly earnings of employees,BA:582
