date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source
1937-03-21,1316-01-01,1316,,idp_sheet1_2,21.2,percent or index,"Iran Data Portal, Syracuse University"
1938-03-21,1317-01-01,1317,,idp_sheet1_2,8.8,percent or index,"Iran Data Portal, Syracuse University"
1939-03-21,1318-01-01,1318,,idp_sheet1_2,8.0,percent or index,"Iran Data Portal, Syracuse University"
1940-03-21,1319-01-01,1319,,idp_sheet1_2,13.8,percent or index,"Iran Data Portal, Syracuse University"
1941-03-21,1320-01-01,1320,,idp_sheet1_2,49.5,percent or index,"Iran Data Portal, Syracuse University"
1942-03-21,1321-01-01,1321,,idp_sheet1_2,96.2,percent or index,"Iran Data Portal, Syracuse University"
1943-03-21,1322-01-01,1322,,idp_sheet1_2,110.5,percent or index,"Iran Data Portal, Syracuse University"
1944-03-21,1323-01-01,1323,,idp_sheet1_2,2.7,percent or index,"Iran Data Portal, Syracuse University"
1945-03-21,1324-01-01,1324,,idp_sheet1_2,-14.4,percent or index,"Iran Data Portal, Syracuse University"
1946-03-21,1325-01-01,1325,,idp_sheet1_2,-11.5,percent or index,"Iran Data Portal, Syracuse University"
1947-03-21,1326-01-01,1326,,idp_sheet1_2,6.6,percent or index,"Iran Data Portal, Syracuse University"
1948-03-21,1327-01-01,1327,,idp_sheet1_2,11.1,percent or index,"Iran Data Portal, Syracuse University"
1949-03-21,1328-01-01,1328,,idp_sheet1_2,2.3,percent or index,"Iran Data Portal, Syracuse University"
1950-03-21,1329-01-01,1329,,idp_sheet1_2,-17.2,percent or index,"Iran Data Portal, Syracuse University"
1951-03-21,1330-01-01,1330,,idp_sheet1_2,8.3,percent or index,"Iran Data Portal, Syracuse University"
1952-03-21,1331-01-01,1331,,idp_sheet1_2,7.2,percent or index,"Iran Data Portal, Syracuse University"
1953-03-21,1332-01-01,1332,,idp_sheet1_2,9.2,percent or index,"Iran Data Portal, Syracuse University"
1954-03-21,1333-01-01,1333,,idp_sheet1_2,15.9,percent or index,"Iran Data Portal, Syracuse University"
1955-03-21,1334-01-01,1334,,idp_sheet1_2,1.7,percent or index,"Iran Data Portal, Syracuse University"
1956-03-21,1335-01-01,1335,,idp_sheet1_2,8.8,percent or index,"Iran Data Portal, Syracuse University"
1957-03-21,1336-01-01,1336,,idp_sheet1_2,4.4,percent or index,"Iran Data Portal, Syracuse University"
1958-03-21,1337-01-01,1337,,idp_sheet1_2,1.0,percent or index,"Iran Data Portal, Syracuse University"
1959-03-21,1338-01-01,1338,,idp_sheet1_2,13.0,percent or index,"Iran Data Portal, Syracuse University"
1960-03-21,1339-01-01,1339,,idp_sheet1_2,7.9,percent or index,"Iran Data Portal, Syracuse University"
1961-03-21,1340-01-01,1340,,idp_sheet1_2,1.6,percent or index,"Iran Data Portal, Syracuse University"
1962-03-21,1341-01-01,1341,,idp_sheet1_2,0.9,percent or index,"Iran Data Portal, Syracuse University"
1963-03-21,1342-01-01,1342,,idp_sheet1_2,1.0,percent or index,"Iran Data Portal, Syracuse University"
1964-03-21,1343-01-01,1343,,idp_sheet1_2,4.5,percent or index,"Iran Data Portal, Syracuse University"
1965-03-21,1344-01-01,1344,,idp_sheet1_2,0.3,percent or index,"Iran Data Portal, Syracuse University"
1966-03-21,1345-01-01,1345,,idp_sheet1_2,0.8,percent or index,"Iran Data Portal, Syracuse University"
1967-03-21,1346-01-01,1346,,idp_sheet1_2,0.8,percent or index,"Iran Data Portal, Syracuse University"
1968-03-21,1347-01-01,1347,,idp_sheet1_2,1.5,percent or index,"Iran Data Portal, Syracuse University"
1969-03-21,1348-01-01,1348,,idp_sheet1_2,3.6,percent or index,"Iran Data Portal, Syracuse University"
1970-03-21,1349-01-01,1349,,idp_sheet1_2,1.5,percent or index,"Iran Data Portal, Syracuse University"
1971-03-21,1350-01-01,1350,,idp_sheet1_2,5.5,percent or index,"Iran Data Portal, Syracuse University"
1972-03-21,1351-01-01,1351,,idp_sheet1_2,6.3,percent or index,"Iran Data Portal, Syracuse University"
1973-03-21,1352-01-01,1352,,idp_sheet1_2,11.2,percent or index,"Iran Data Portal, Syracuse University"
1974-03-21,1353-01-01,1353,,idp_sheet1_2,15.5,percent or index,"Iran Data Portal, Syracuse University"
1975-03-21,1354-01-01,1354,,idp_sheet1_2,9.9,percent or index,"Iran Data Portal, Syracuse University"
1976-03-21,1355-01-01,1355,,idp_sheet1_2,16.6,percent or index,"Iran Data Portal, Syracuse University"
1977-03-21,1356-01-01,1356,,idp_sheet1_2,25.1,percent or index,"Iran Data Portal, Syracuse University"
1978-03-21,1357-01-01,1357,,idp_sheet1_2,10.0,percent or index,"Iran Data Portal, Syracuse University"
1979-03-21,1358-01-01,1358,,idp_sheet1_2,11.4,percent or index,"Iran Data Portal, Syracuse University"
1980-03-21,1359-01-01,1359,,idp_sheet1_2,23.5,percent or index,"Iran Data Portal, Syracuse University"
1981-03-21,1360-01-01,1360,,idp_sheet1_2,22.8,percent or index,"Iran Data Portal, Syracuse University"
1982-03-21,1361-01-01,1361,,idp_sheet1_2,19.2,percent or index,"Iran Data Portal, Syracuse University"
1983-03-21,1362-01-01,1362,,idp_sheet1_2,14.8,percent or index,"Iran Data Portal, Syracuse University"
1984-03-21,1363-01-01,1363,,idp_sheet1_2,10.4,percent or index,"Iran Data Portal, Syracuse University"
1985-03-21,1364-01-01,1364,,idp_sheet1_2,6.9,percent or index,"Iran Data Portal, Syracuse University"
1986-03-21,1365-01-01,1365,,idp_sheet1_2,23.7,percent or index,"Iran Data Portal, Syracuse University"
1987-03-21,1366-01-01,1366,,idp_sheet1_2,27.7,percent or index,"Iran Data Portal, Syracuse University"
1988-03-21,1367-01-01,1367,,idp_sheet1_2,28.9,percent or index,"Iran Data Portal, Syracuse University"
1989-03-21,1368-01-01,1368,,idp_sheet1_2,17.4,percent or index,"Iran Data Portal, Syracuse University"
1990-03-21,1369-01-01,1369,,idp_sheet1_2,9.0,percent or index,"Iran Data Portal, Syracuse University"
1991-03-21,1370-01-01,1370,,idp_sheet1_2,20.7,percent or index,"Iran Data Portal, Syracuse University"
1992-03-21,1371-01-01,1371,,idp_sheet1_2,24.4,percent or index,"Iran Data Portal, Syracuse University"
1993-03-21,1372-01-01,1372,,idp_sheet1_2,22.9,percent or index,"Iran Data Portal, Syracuse University"
1994-03-21,1373-01-01,1373,,idp_sheet1_2,35.2,percent or index,"Iran Data Portal, Syracuse University"
1995-03-21,1374-01-01,1374,,idp_sheet1_2,49.4,percent or index,"Iran Data Portal, Syracuse University"
1996-03-21,1375-01-01,1375,,idp_sheet1_2,23.2,percent or index,"Iran Data Portal, Syracuse University"
1997-03-21,1376-01-01,1376,,idp_sheet1_2,17.3,percent or index,"Iran Data Portal, Syracuse University"
1998-03-21,1377-01-01,1377,,idp_sheet1_2,18.1,percent or index,"Iran Data Portal, Syracuse University"
1999-03-21,1378-01-01,1378,,idp_sheet1_2,20.1,percent or index,"Iran Data Portal, Syracuse University"
2000-03-21,1379-01-01,1379,,idp_sheet1_2,12.6,percent or index,"Iran Data Portal, Syracuse University"
2001-03-21,1380-01-01,1380,,idp_sheet1_2,11.4,percent or index,"Iran Data Portal, Syracuse University"
2002-03-21,1381-01-01,1381,,idp_sheet1_2,15.8,percent or index,"Iran Data Portal, Syracuse University"
2003-03-21,1382-01-01,1382,,idp_sheet1_2,15.6,percent or index,"Iran Data Portal, Syracuse University"
2004-03-21,1383-01-01,1383,,idp_sheet1_2,15.2,percent or index,"Iran Data Portal, Syracuse University"
2005-03-21,1384-01-01,1384,,idp_sheet1_2,10.4,percent or index,"Iran Data Portal, Syracuse University"
2006-03-21,1385-01-01,1385,,idp_sheet1_2,11.9,percent or index,"Iran Data Portal, Syracuse University"
2007-03-21,1386-01-01,1386,,idp_sheet1_2,18.4,percent or index,"Iran Data Portal, Syracuse University"
2008-03-21,1387-01-01,1387,,idp_sheet1_2,25.4,percent or index,"Iran Data Portal, Syracuse University"
2009-03-21,1388-01-01,1388,,idp_sheet1_2,10.8,percent or index,"Iran Data Portal, Syracuse University"
2010-03-21,1389-01-01,1389,,idp_sheet1_2,12.4,percent or index,"Iran Data Portal, Syracuse University"
2011-03-21,1390-01-01,1390,,idp_sheet1_2,21.5,percent or index,"Iran Data Portal, Syracuse University"
2012-03-21,1391-01-01,1391,,idp_sheet1_2,30.5,percent or index,"Iran Data Portal, Syracuse University"
2013-03-21,1392-01-01,1392,,idp_sheet1_2,34.7,percent or index,"Iran Data Portal, Syracuse University"
2014-03-21,1393-01-01,1393,,idp_sheet1_2,15.6,percent or index,"Iran Data Portal, Syracuse University"
