date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,month_end
2012-08-22,1391-06-01,1391,6,aed_free_market,6385.4,IRR per AED,tgju.org API (Jalali-month mean),6640.0
2012-09-22,1391-07-01,1391,7,aed_free_market,8453.88,IRR per AED,tgju.org API (Jalali-month mean),8987.0
2012-10-22,1391-08-01,1391,8,aed_free_market,8701.72,IRR per AED,tgju.org API (Jalali-month mean),8650.0
2012-11-21,1391-09-01,1391,9,aed_free_market,8689.454545454546,IRR per AED,tgju.org API (Jalali-month mean),8748.0
2012-12-21,1391-10-01,1391,10,aed_free_market,8978.263157894737,IRR per AED,tgju.org API (Jalali-month mean),9280.0
2013-01-20,1391-11-01,1391,11,aed_free_market,10017.684210526317,IRR per AED,tgju.org API (Jalali-month mean),10220.0
2013-02-19,1391-12-01,1391,12,aed_free_market,9757.736842105263,IRR per AED,tgju.org API (Jalali-month mean),9580.0
2013-03-21,1392-01-01,1392,1,aed_free_market,9631.411764705885,IRR per AED,tgju.org API (Jalali-month mean),9710.0
2013-04-21,1392-02-01,1392,2,aed_free_market,9694.578947368422,IRR per AED,tgju.org API (Jalali-month mean),9650.0
2013-05-22,1392-03-01,1392,3,aed_free_market,9781.722222222224,IRR per AED,tgju.org API (Jalali-month mean),9010.0
2013-06-22,1392-04-01,1392,4,aed_free_market,8971.25,IRR per AED,tgju.org API (Jalali-month mean),8550.0
2013-07-23,1392-05-01,1392,5,aed_free_market,8668.263157894737,IRR per AED,tgju.org API (Jalali-month mean),8500.0
2013-08-23,1392-06-01,1392,6,aed_free_market,8659.631578947368,IRR per AED,tgju.org API (Jalali-month mean),8050.0
2013-09-23,1392-07-01,1392,7,aed_free_market,8286.952380952382,IRR per AED,tgju.org API (Jalali-month mean),8209.0
2013-10-23,1392-08-01,1392,8,aed_free_market,8217.25,IRR per AED,tgju.org API (Jalali-month mean),8150.0
2013-11-22,1392-09-01,1392,9,aed_free_market,8066.857142857143,IRR per AED,tgju.org API (Jalali-month mean),8049.0
2013-12-22,1392-10-01,1392,10,aed_free_market,8123.823529411765,IRR per AED,tgju.org API (Jalali-month mean),7980.0
2014-01-21,1392-11-01,1392,11,aed_free_market,8065.111111111111,IRR per AED,tgju.org API (Jalali-month mean),8089.0
2014-02-20,1392-12-01,1392,12,aed_free_market,8260.2,IRR per AED,tgju.org API (Jalali-month mean),8174.0
2014-03-21,1393-01-01,1393,1,aed_free_market,8232.42857142857,IRR per AED,tgju.org API (Jalali-month mean),9005.0
2014-04-21,1393-02-01,1393,2,aed_free_market,8799.47619047619,IRR per AED,tgju.org API (Jalali-month mean),8997.0
2014-05-22,1393-03-01,1393,3,aed_free_market,8857.470588235294,IRR per AED,tgju.org API (Jalali-month mean),8690.0
2014-06-22,1393-04-01,1393,4,aed_free_market,8533.041666666666,IRR per AED,tgju.org API (Jalali-month mean),8520.0
2014-07-23,1393-05-01,1393,5,aed_free_market,8523.894736842105,IRR per AED,tgju.org API (Jalali-month mean),8470.0
2014-08-23,1393-06-01,1393,6,aed_free_market,8666.958333333334,IRR per AED,tgju.org API (Jalali-month mean),8710.0
2014-09-23,1393-07-01,1393,7,aed_free_market,8859.3,IRR per AED,tgju.org API (Jalali-month mean),8839.0
2014-10-23,1393-08-01,1393,8,aed_free_market,8892.57142857143,IRR per AED,tgju.org API (Jalali-month mean),8884.0
2014-11-22,1393-09-01,1393,9,aed_free_market,9320.954545454546,IRR per AED,tgju.org API (Jalali-month mean),9760.0
2014-12-22,1393-10-01,1393,10,aed_free_market,9594.47619047619,IRR per AED,tgju.org API (Jalali-month mean),9480.0
2015-01-21,1393-11-01,1393,11,aed_free_market,9420.3,IRR per AED,tgju.org API (Jalali-month mean),9352.0
2015-02-20,1393-12-01,1393,12,aed_free_market,9263.45,IRR per AED,tgju.org API (Jalali-month mean),9128.0
2015-03-21,1394-01-01,1394,1,aed_free_market,9101.611111111111,IRR per AED,tgju.org API (Jalali-month mean),9140.0
2015-04-21,1394-02-01,1394,2,aed_free_market,9082.222222222224,IRR per AED,tgju.org API (Jalali-month mean),9034.0
2015-05-22,1394-03-01,1394,3,aed_free_market,9014.222222222224,IRR per AED,tgju.org API (Jalali-month mean),8900.0
2015-06-22,1394-04-01,1394,4,aed_free_market,8894.6,IRR per AED,tgju.org API (Jalali-month mean),8936.0
2015-07-23,1394-05-01,1394,5,aed_free_market,9094.5,IRR per AED,tgju.org API (Jalali-month mean),9200.0
2015-08-23,1394-06-01,1394,6,aed_free_market,9403.636363636364,IRR per AED,tgju.org API (Jalali-month mean),9373.0
2015-09-23,1394-07-01,1394,7,aed_free_market,9487.95,IRR per AED,tgju.org API (Jalali-month mean),9470.0
2015-10-23,1394-08-01,1394,8,aed_free_market,9678.65,IRR per AED,tgju.org API (Jalali-month mean),9840.0
2015-11-22,1394-09-01,1394,9,aed_free_market,9889.111111111111,IRR per AED,tgju.org API (Jalali-month mean),9990.0
2015-12-22,1394-10-01,1394,10,aed_free_market,9999.25,IRR per AED,tgju.org API (Jalali-month mean),9986.0
2016-01-21,1394-11-01,1394,11,aed_free_market,9816.722222222224,IRR per AED,tgju.org API (Jalali-month mean),9580.0
2016-02-20,1394-12-01,1394,12,aed_free_market,9479.35,IRR per AED,tgju.org API (Jalali-month mean),9550.0
2016-03-20,1395-01-01,1395,1,aed_free_market,9525.05,IRR per AED,tgju.org API (Jalali-month mean),9518.0
2016-04-20,1395-02-01,1395,2,aed_free_market,9447.55,IRR per AED,tgju.org API (Jalali-month mean),9430.0
2016-05-21,1395-03-01,1395,3,aed_free_market,9482.25,IRR per AED,tgju.org API (Jalali-month mean),9450.0
2016-06-21,1395-04-01,1395,4,aed_free_market,9565.105263157897,IRR per AED,tgju.org API (Jalali-month mean),9600.0
2016-07-22,1395-05-01,1395,5,aed_free_market,9671.90476190476,IRR per AED,tgju.org API (Jalali-month mean),9680.0
2016-08-22,1395-06-01,1395,6,aed_free_market,9732.388888888889,IRR per AED,tgju.org API (Jalali-month mean),9748.0
2016-09-22,1395-07-01,1395,7,aed_free_market,9823.823529411764,IRR per AED,tgju.org API (Jalali-month mean),9850.0
2016-10-22,1395-08-01,1395,8,aed_free_market,9967.285714285714,IRR per AED,tgju.org API (Jalali-month mean),10120.0
2016-11-21,1395-09-01,1395,9,aed_free_market,10836.75,IRR per AED,tgju.org API (Jalali-month mean),11230.0
2016-12-21,1395-10-01,1395,10,aed_free_market,11115.3,IRR per AED,tgju.org API (Jalali-month mean),10813.0
2017-01-20,1395-11-01,1395,11,aed_free_market,10716.047619047618,IRR per AED,tgju.org API (Jalali-month mean),10554.0
2017-02-19,1395-12-01,1395,12,aed_free_market,10486.5,IRR per AED,tgju.org API (Jalali-month mean),10580.0
2017-03-21,1396-01-01,1396,1,aed_free_market,10412.9375,IRR per AED,tgju.org API (Jalali-month mean),10300.0
2017-04-21,1396-02-01,1396,2,aed_free_market,10354.55,IRR per AED,tgju.org API (Jalali-month mean),10340.0
2017-05-22,1396-03-01,1396,3,aed_free_market,10279.52380952381,IRR per AED,tgju.org API (Jalali-month mean),10264.0
2017-06-22,1396-04-01,1396,4,aed_free_market,10318.882352941177,IRR per AED,tgju.org API (Jalali-month mean),10300.0
2017-07-23,1396-05-01,1396,5,aed_free_market,10437.727272727272,IRR per AED,tgju.org API (Jalali-month mean),10460.0
2017-08-23,1396-06-01,1396,6,aed_free_market,10675.9,IRR per AED,tgju.org API (Jalali-month mean),10702.0
2017-09-23,1396-07-01,1396,7,aed_free_market,11028.25,IRR per AED,tgju.org API (Jalali-month mean),11140.0
2017-10-23,1396-08-01,1396,8,aed_free_market,11229.5,IRR per AED,tgju.org API (Jalali-month mean),11310.0
2017-11-22,1396-09-01,1396,9,aed_free_market,11558.684210526317,IRR per AED,tgju.org API (Jalali-month mean),11625.0
2017-12-22,1396-10-01,1396,10,aed_free_market,11946.47619047619,IRR per AED,tgju.org API (Jalali-month mean),12560.0
2018-01-21,1396-11-01,1396,11,aed_free_market,13130.25,IRR per AED,tgju.org API (Jalali-month mean),13045.0
2018-02-20,1396-12-01,1396,12,aed_free_market,13424.722222222224,IRR per AED,tgju.org API (Jalali-month mean),13520.0
2018-03-21,1397-01-01,1397,1,aed_free_market,14710.555555555557,IRR per AED,tgju.org API (Jalali-month mean),15220.0
2018-04-21,1397-02-01,1397,2,aed_free_market,16634.125,IRR per AED,tgju.org API (Jalali-month mean),17310.0
2018-05-22,1397-03-01,1397,3,aed_free_market,18170.0,IRR per AED,tgju.org API (Jalali-month mean),20450.0
2018-06-22,1397-04-01,1397,4,aed_free_market,22305.636363636364,IRR per AED,tgju.org API (Jalali-month mean),25570.0
2018-07-23,1397-05-01,1397,5,aed_free_market,27977.478260869564,IRR per AED,tgju.org API (Jalali-month mean),28514.0
2018-08-23,1397-06-01,1397,6,aed_free_market,35310.65,IRR per AED,tgju.org API (Jalali-month mean),40620.0
2018-09-23,1397-07-01,1397,7,aed_free_market,38395.66666666666,IRR per AED,tgju.org API (Jalali-month mean),35750.0
2018-10-23,1397-08-01,1397,8,aed_free_market,36094.5652173913,IRR per AED,tgju.org API (Jalali-month mean),32380.0
2018-11-22,1397-09-01,1397,9,aed_free_market,30268.4,IRR per AED,tgju.org API (Jalali-month mean),27410.0
