date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,gregorian_stamp
2011-03-21,1390-01-01,1390,1,cpi_core_wb,12.47,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201104
2011-04-21,1390-02-01,1390,2,cpi_core_wb,12.79,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201105
2011-05-22,1390-03-01,1390,3,cpi_core_wb,12.95,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201106
2011-06-22,1390-04-01,1390,4,cpi_core_wb,13.0,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201107
2011-07-23,1390-05-01,1390,5,cpi_core_wb,13.23,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201108
2011-08-23,1390-06-01,1390,6,cpi_core_wb,13.44,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201109
2011-09-23,1390-07-01,1390,7,cpi_core_wb,13.64,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201110
2011-10-23,1390-08-01,1390,8,cpi_core_wb,13.85,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201111
2011-11-22,1390-09-01,1390,9,cpi_core_wb,13.9,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201112
2011-12-22,1390-10-01,1390,10,cpi_core_wb,14.14,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201201
2012-01-21,1390-11-01,1390,11,cpi_core_wb,14.4,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201202
2012-02-20,1390-12-01,1390,12,cpi_core_wb,14.69,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201203
2012-03-20,1391-01-01,1391,1,cpi_core_wb,14.86,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201204
2012-04-20,1391-02-01,1391,2,cpi_core_wb,15.17,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201205
2012-05-21,1391-03-01,1391,3,cpi_core_wb,15.37,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201206
2012-06-21,1391-04-01,1391,4,cpi_core_wb,15.66,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201207
2012-07-22,1391-05-01,1391,5,cpi_core_wb,16.18,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201208
2012-08-22,1391-06-01,1391,6,cpi_core_wb,16.46,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201209
2012-09-22,1391-07-01,1391,7,cpi_core_wb,17.22,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201210
2012-10-22,1391-08-01,1391,8,cpi_core_wb,17.69,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201211
2012-11-21,1391-09-01,1391,9,cpi_core_wb,18.2,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201212
2012-12-21,1391-10-01,1391,10,cpi_core_wb,18.58,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201301
2013-01-20,1391-11-01,1391,11,cpi_core_wb,19.3,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201302
2013-02-19,1391-12-01,1391,12,cpi_core_wb,19.87,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201303
2013-03-21,1392-01-01,1392,1,cpi_core_wb,20.43,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201304
2013-04-21,1392-02-01,1392,2,cpi_core_wb,20.7,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201305
2013-05-22,1392-03-01,1392,3,cpi_core_wb,21.18,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201306
2013-06-22,1392-04-01,1392,4,cpi_core_wb,21.67,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201307
2013-07-23,1392-05-01,1392,5,cpi_core_wb,22.14,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201308
2013-08-23,1392-06-01,1392,6,cpi_core_wb,22.35,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201309
2013-09-23,1392-07-01,1392,7,cpi_core_wb,22.45,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201310
2013-10-23,1392-08-01,1392,8,cpi_core_wb,22.8,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201311
2013-11-22,1392-09-01,1392,9,cpi_core_wb,23.13,index,"World Bank Global Inflation Database (Ha, Kose & Ohnsorge)",201312
