date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,description
1961-01-01,,1340,,broad_money_growth_pct,9.736892644517,percent,World Bank WDI API,1961,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1962-01-01,,1341,,broad_money_growth_pct,25.6737836891845,percent,World Bank WDI API,1962,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1963-01-01,,1342,,broad_money_growth_pct,19.3427099289793,percent,World Bank WDI API,1963,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1964-01-01,,1343,,broad_money_growth_pct,16.0326721120187,percent,World Bank WDI API,1964,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1965-01-01,,1344,,broad_money_growth_pct,14.9537409493162,percent,World Bank WDI API,1965,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1966-01-01,,1345,,broad_money_growth_pct,14.2594698626542,percent,World Bank WDI API,1966,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1967-01-01,,1346,,broad_money_growth_pct,19.1486103667407,percent,World Bank WDI API,1967,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1968-01-01,,1347,,broad_money_growth_pct,15.5185708777792,percent,World Bank WDI API,1968,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1969-01-01,,1348,,broad_money_growth_pct,17.7393335929243,percent,World Bank WDI API,1969,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1970-01-01,,1349,,broad_money_growth_pct,17.96277048096,percent,World Bank WDI API,1970,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1971-01-01,,1350,,broad_money_growth_pct,24.0067286126242,percent,World Bank WDI API,1971,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1972-01-01,,1351,,broad_money_growth_pct,35.2528906401395,percent,World Bank WDI API,1972,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1973-01-01,,1352,,broad_money_growth_pct,30.2910905747785,percent,World Bank WDI API,1973,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1974-01-01,,1353,,broad_money_growth_pct,42.7990176313185,percent,World Bank WDI API,1974,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1975-01-01,,1354,,broad_money_growth_pct,34.7485689349796,percent,World Bank WDI API,1975,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1976-01-01,,1355,,broad_money_growth_pct,43.8973977978436,percent,World Bank WDI API,1976,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1977-01-01,,1356,,broad_money_growth_pct,26.0877047823929,percent,World Bank WDI API,1977,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1978-01-01,,1357,,broad_money_growth_pct,23.4115713933234,percent,World Bank WDI API,1978,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1979-01-01,,1358,,broad_money_growth_pct,35.5440418915872,percent,World Bank WDI API,1979,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1980-01-01,,1359,,broad_money_growth_pct,26.3108011837774,percent,World Bank WDI API,1980,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1981-01-01,,1360,,broad_money_growth_pct,16.3591550345609,percent,World Bank WDI API,1981,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1982-01-01,,1361,,broad_money_growth_pct,25.6384523402801,percent,World Bank WDI API,1982,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1983-01-01,,1362,,broad_money_growth_pct,18.6814867689798,percent,World Bank WDI API,1983,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1987-01-01,,1366,,broad_money_growth_pct,19.2648253452478,percent,World Bank WDI API,1987,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1988-01-01,,1367,,broad_money_growth_pct,20.0992745972823,percent,World Bank WDI API,1988,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1989-01-01,,1368,,broad_money_growth_pct,22.5239084354774,percent,World Bank WDI API,1989,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1990-01-01,,1369,,broad_money_growth_pct,17.9880924139767,percent,World Bank WDI API,1990,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1991-01-01,,1370,,broad_money_growth_pct,25.5752255786583,percent,World Bank WDI API,1991,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1992-01-01,,1371,,broad_money_growth_pct,24.3817192753629,percent,World Bank WDI API,1992,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1993-01-01,,1372,,broad_money_growth_pct,30.2513594634986,percent,World Bank WDI API,1993,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1994-01-01,,1373,,broad_money_growth_pct,33.2957303771625,percent,World Bank WDI API,1994,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1995-01-01,,1374,,broad_money_growth_pct,30.0937445749667,percent,World Bank WDI API,1995,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1996-01-01,,1375,,broad_money_growth_pct,32.4576596312524,percent,World Bank WDI API,1996,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1997-01-01,,1376,,broad_money_growth_pct,23.6821696884599,percent,World Bank WDI API,1997,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1998-01-01,,1377,,broad_money_growth_pct,20.384428393127,percent,World Bank WDI API,1998,FM.LBL.BMNY.ZG,Broad money growth (annual %)
1999-01-01,,1378,,broad_money_growth_pct,21.4992937833198,percent,World Bank WDI API,1999,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2000-01-01,,1379,,broad_money_growth_pct,35.3701697231687,percent,World Bank WDI API,2000,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2001-01-01,,1380,,broad_money_growth_pct,29.3118175038997,percent,World Bank WDI API,2001,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2002-01-01,,1381,,broad_money_growth_pct,28.4132434126088,percent,World Bank WDI API,2002,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2003-01-01,,1382,,broad_money_growth_pct,27.2630757220921,percent,World Bank WDI API,2003,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2004-01-01,,1383,,broad_money_growth_pct,28.6814130292837,percent,World Bank WDI API,2004,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2005-01-01,,1384,,broad_money_growth_pct,32.8478907539097,percent,World Bank WDI API,2005,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2006-01-01,,1385,,broad_money_growth_pct,36.3507004721611,percent,World Bank WDI API,2006,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2007-01-01,,1386,,broad_money_growth_pct,33.8961602848014,percent,World Bank WDI API,2007,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2008-01-01,,1387,,broad_money_growth_pct,11.8769180990585,percent,World Bank WDI API,2008,FM.LBL.BMNY.ZG,Broad money growth (annual %)
2009-01-01,,1388,,broad_money_growth_pct,27.0335927586022,percent,World Bank WDI API,2009,FM.LBL.BMNY.ZG,Broad money growth (annual %)
