date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,description,country_iso3
1990-01-01,,1369,,electricity_losses_pct_egy,8.54924770465798,percent of output,World Bank WDI API,1990,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1991-01-01,,1370,,electricity_losses_pct_egy,8.64913165009394,percent of output,World Bank WDI API,1991,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1992-01-01,,1371,,electricity_losses_pct_egy,8.92213971274845,percent of output,World Bank WDI API,1992,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1993-01-01,,1372,,electricity_losses_pct_egy,9.16638355698998,percent of output,World Bank WDI API,1993,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1994-01-01,,1373,,electricity_losses_pct_egy,8.6227470990042,percent of output,World Bank WDI API,1994,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1995-01-01,,1374,,electricity_losses_pct_egy,9.43469785575049,percent of output,World Bank WDI API,1995,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1996-01-01,,1375,,electricity_losses_pct_egy,6.14381485903205,percent of output,World Bank WDI API,1996,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1997-01-01,,1376,,electricity_losses_pct_egy,6.46778941603341,percent of output,World Bank WDI API,1997,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1998-01-01,,1377,,electricity_losses_pct_egy,6.92119556586094,percent of output,World Bank WDI API,1998,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
1999-01-01,,1378,,electricity_losses_pct_egy,7.16110665012045,percent of output,World Bank WDI API,1999,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2000-01-01,,1379,,electricity_losses_pct_egy,13.7568304262698,percent of output,World Bank WDI API,2000,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2001-01-01,,1380,,electricity_losses_pct_egy,13.0940659446219,percent of output,World Bank WDI API,2001,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2002-01-01,,1381,,electricity_losses_pct_egy,12.6482789550398,percent of output,World Bank WDI API,2002,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2003-01-01,,1382,,electricity_losses_pct_egy,11.3045396762027,percent of output,World Bank WDI API,2003,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2004-01-01,,1383,,electricity_losses_pct_egy,12.1570795368168,percent of output,World Bank WDI API,2004,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2005-01-01,,1384,,electricity_losses_pct_egy,11.5962830067163,percent of output,World Bank WDI API,2005,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2006-01-01,,1385,,electricity_losses_pct_egy,10.8858214839654,percent of output,World Bank WDI API,2006,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
2007-01-01,,1386,,electricity_losses_pct_egy,10.4843801197165,percent of output,World Bank WDI API,2007,EG.ELC.LOSS.ZS,Electric power transmission and distribution losses,EGY
