year_gregorian,inflation,monetisation_m3,monetisation_gdp,net_lending,oil_rents,govt_consumption,m2_growth,credit,d_monetisation_m3,d_monetisation_gdp,credit_growth
1960,9.82241081297867,,7.72122043109175,,,10.5171409906573,,61150000000.0,,,
1961,3.16256439585745,-24.9663913961974,3.44723324024528,,,10.4670418369119,9.736892644517,59240000000.0,,-4.273987190846469,-3.1732872733581274
1962,0.721320571656337,5.33776688834442,4.10926937033134,,,10.2777841948434,25.6737836891845,68820000000.0,30.30415828454182,0.6620361300860602,14.989741096973574
1963,0.371849607221666,4.86004734716613,4.84808132198238,,,11.1109991326574,19.3427099289793,80620000000.0,-0.4777195411782893,0.7388119516510399,15.82523573196859
1964,3.81448957223043,10.536756126021,6.6572879341723,,,12.5028635781778,16.0326721120187,101410000000.0,5.67670877885487,1.8092066121899197,22.94249479348842
1965,2.15437483520967,6.19469026548673,7.09132257535023,,,14.3618865745771,14.9537409493162,113450000000.0,-4.34206586053427,0.4340346411779299,11.219050560194432
1966,-0.388148532154432,2.32700551132884,6.98956915060753,,,14.8294985358915,14.2594698626542,130680000000.0,-3.86768475415789,-0.10175342474269922,14.138937550702124
1967,1.59761007964354,9.0728121889595,8.35196633537043,,,15.2515308344553,19.1486103667407,157450000000.0,6.745806677630659,1.3623971847628988,18.63563608141625
1968,0.690360521996233,3.56637964271944,8.16741624362864,,,15.7582146556508,15.5185708777792,191440000000.0,-5.50643254624006,-0.18455009174178905,19.54664960530863
1969,3.59319451551281,14.4184235411915,10.7406242682976,,,16.7223225250837,17.7393335929243,235600000000.0,10.85204389847206,2.5732080246689595,20.756100817731138
1970,1.66687093970068,16.7249362184636,13.7915594846469,,11.7339839421763,17.3938866253337,17.96277048096,303590000000.0,2.306512677272101,3.0509352163493,25.354265512515894
1971,4.19529837265423,7.99823774431272,12.9438641701777,,14.8261594078895,18.6830845941571,24.0067286126242,348400000000.0,-8.72669847415088,-0.847695314469199,13.767313807575832
1972,6.39824135128871,3.54305277436858,11.2061581672346,-4.27128479006608,16.7252736694196,19.2261385972642,35.2528906401395,426820000000.0,-4.45518496994414,-1.737706002943101,20.301113370747714
1973,9.81948673318762,11.2448360675311,10.3299940517901,-0.771935206776222,18.568940368485,17.2765957216962,30.2910905747785,593870000000.0,7.701783293162521,-0.8761641154444995,33.02980615056654
1974,14.2489355382567,-51.5285363439757,-2.83049976820738,4.4897582530186,47.360140628302,21.0782301841496,42.7990176313185,519750000000.0,-62.7733724115068,-13.16049381999748,-13.33125134533688
1975,12.8791818338341,-10.2677310881228,-4.77279569665984,0.340003255327504,37.2662498162087,23.8422005516236,34.7485689349796,838160000000.0,41.2608052558529,-1.9422959284524604,47.78610863065893
1976,11.2561425062111,4.26905932106526,-2.57547463599942,-0.783287602633488,33.2729575358116,21.4325059376088,43.8973977978436,1367780000000.0,14.53679040918806,2.1973210606604203,48.97352534916202
1977,27.2877846793093,5.28810193612444,-0.768895952894208,-4.61267256605945,29.6619105232745,20.3454068790073,26.0877047823929,1660860000000.0,1.0190426150591803,1.806578683105212,19.414655295029704
1978,11.7219692041212,,,-9.99517985653569,31.7653421755558,23.3220953176091,23.4115713933234,,,,
1979,10.4872367273486,,5.52778151315261,-5.07976968721584,36.2712245910874,19.761445664451,35.5440418915872,2723820000000.0,,,
1980,20.6439144373798,36.1391032541324,22.2636138678177,-13.8821852804226,34.0602967673368,21.0287338661933,26.3108011837774,4235570000000.0,,16.73583235466509,44.14826049185052
