year_gregorian,country_iso3,gdp_pc_index_2008
1960,IRN,46.567489533051095
1961,IRN,49.88379264835615
1962,IRN,52.219211286255394
1963,IRN,54.206493821726795
1964,IRN,56.99790063341439
1965,IRN,64.64535523807439
1966,IRN,69.87009691454362
1967,IRN,75.399565968392
1968,IRN,83.71697559751031
1969,IRN,93.84727461976037
1970,IRN,100.98922406915104
1971,IRN,111.4461832349975
1972,IRN,123.92325301680617
1973,IRN,129.30365397923248
1974,IRN,132.81423328877582
1975,IRN,128.43922455951605
1976,IRN,147.3831793635449
1977,IRN,138.92509036079508
1978,IRN,117.19386768607272
1979,IRN,99.62221120357987
1980,IRN,75.32564392351959
1981,IRN,67.4023821610673
1982,IRN,78.73952901565832
1983,IRN,84.1296111371673
1984,IRN,75.23873525848515
1985,IRN,73.87960459587798
1986,IRN,64.23597931074436
1987,IRN,61.86765487624329
1988,IRN,56.25935833043866
1989,IRN,57.99054916930147
1990,IRN,63.98410172565998
1991,IRN,70.18856269686118
1992,IRN,71.0836935547753
1993,IRN,69.7887505846288
1994,IRN,68.47300623881584
1995,IRN,69.34498803636374
1996,IRN,72.95624300070153
1997,IRN,73.06034795455683
1998,IRN,73.56254378835838
1999,IRN,73.97461834653721
2000,IRN,77.15147058480387
2001,IRN,77.78685386461774
2002,IRN,83.37973624892648
2003,IRN,89.58469052245314
2004,IRN,91.49139212950969
2005,IRN,92.34340234603168
2006,IRN,94.89377112305708
2007,IRN,100.96859522300679
2008,IRN,100.0
2009,IRN,99.76078067843083
2010,IRN,104.23200524132493
2011,IRN,105.67557630283582
2012,IRN,100.45088488737757
2013,IRN,97.63763738576154
2014,IRN,101.13708881986963
2015,IRN,98.34774583087903
2016,IRN,105.49405194496609
2017,IRN,107.134710668418
2018,IRN,101.81266787902831
2019,IRN,98.34224805873902
2020,IRN,101.92385573782164
2021,IRN,105.25587337811031
2022,IRN,108.5262013205482
2023,IRN,112.94502846150762
2024,IRN,115.85608387970217
2025,IRN,111.54663424344895
1960,EGY,24.72517916457436
1961,EGY,25.337679845734336
1962,EGY,25.635961005274265
1963,EGY,27.59722595682107
1964,EGY,29.98246319421294
1965,EGY,30.66477405270846
1966,EGY,31.414932826747904
1967,EGY,30.89105068178966
1968,EGY,29.656012568516683
1969,EGY,30.47070793646703
1970,EGY,31.42166231717952
1971,EGY,31.949685117637134
1972,EGY,32.176824335157775
1973,EGY,32.54783736602483
1974,EGY,32.29991107047368
1975,EGY,34.36750708336958
1976,EGY,38.03115788401201
1977,EGY,40.48528426600414
1978,EGY,42.91234460256432
1979,EGY,43.756170707203324
1980,EGY,46.8971559911572
1981,EGY,49.00886147493287
1982,EGY,52.401350872465166
1983,EGY,53.48191706027809
1984,EGY,56.95296446925002
1985,EGY,58.48472706213397
1986,EGY,59.533075518978585
1987,EGY,60.124029325174774
1988,EGY,61.66895924411874
1989,EGY,62.965996067928856
1990,EGY,64.61337747239001
1991,EGY,63.563722691622345
1992,EGY,64.83886004286069
1993,EGY,65.19791424294216
1994,EGY,66.34378899321183
1995,EGY,67.97821534884281
1996,EGY,69.90495279426392
1997,EGY,72.23171433263683
1998,EGY,74.61094833218867
1999,EGY,77.38202634227176
2000,EGY,80.55166423125948
2001,EGY,81.64680608711849
2002,EGY,81.85802332851965
2003,EGY,82.72046511092164
2004,EGY,84.34612643564297
2005,EGY,86.3538380469343
2006,EGY,90.47940386771555
2007,EGY,95.08070434512743
2008,EGY,100.0
2009,EGY,102.71552592111561
2010,EGY,105.95083748465477
2011,EGY,105.57508679294261
2012,EGY,105.52972432604197
2013,EGY,105.37857000621243
2014,EGY,106.01037624800304
2015,EGY,108.34701305184163
2016,EGY,110.77937506129692
2017,EGY,113.12806926738813
2018,EGY,116.91974603505275
2019,EGY,121.26429776088554
2020,EGY,123.54542442804176
2021,EGY,125.72254788030688
2022,EGY,132.02823600521046
2023,EGY,134.6993763841794
2024,EGY,135.5609625387201
2025,EGY,139.3296272541257
1960,TUR,28.995137152639174
1961,TUR,28.535278651051133
1962,TUR,29.322626177799084
1963,TUR,31.137318681384198
1964,TUR,31.987405818746268
1965,TUR,32.074906979223364
1966,TUR,34.77638534146676
1967,TUR,35.48864156570736
1968,TUR,36.94863929725991
1969,TUR,37.52589035044221
1970,TUR,37.83982425241251
1971,TUR,39.00915584596159
1972,TUR,40.9118361583049
1973,TUR,41.28050513774949
1974,TUR,42.635207892899416
1975,TUR,44.755730481722026
1976,TUR,48.43850173882168
1977,TUR,49.06596820243935
1978,TUR,48.80835373845749
1979,TUR,47.56099565792583
1980,TUR,45.47907455823326
1981,TUR,46.748540093018846
1982,TUR,47.390290014757234
1983,TUR,48.590620251183466
1984,TUR,50.6736005894857
1985,TUR,51.66289344431211
1986,TUR,54.120966900011766
1987,TUR,58.05942013344657
1988,TUR,58.232174215751876
1989,TUR,57.26762382424396
1990,TUR,61.41358235673091
1991,TUR,60.77715694269094
1992,TUR,62.758598048177085
1993,TUR,66.40495462853589
1994,TUR,62.21402548092273
1995,TUR,66.02586609734458
1996,TUR,69.69359704831528
1997,TUR,73.74799531402748
1998,TUR,74.11616175812078
1999,TUR,70.89961784708062
2000,TUR,74.88521037645674
2001,TUR,69.92146784189993
2002,TUR,73.52923438323876
2003,TUR,76.89534909626038
2004,TUR,83.58987392485578
2005,TUR,90.23675147397888
2006,TUR,95.62704759345031
2007,TUR,100.3503045806537
2008,TUR,100.0
2009,TUR,93.81341872267272
2010,TUR,100.29164893713853
2011,TUR,109.68187938442391
2012,TUR,113.49892320739127
2013,TUR,121.56157833743772
2014,TUR,125.45047057949049
2015,TUR,130.97453059096156
2016,TUR,133.5191451206193
2017,TUR,142.11330002241937
2018,TUR,145.06505203652856
2019,TUR,144.86721453920902
2020,TUR,146.0550640495735
2021,TUR,161.82570439034922
2022,TUR,168.95923934453472
2023,TUR,176.76363176736973
2024,TUR,182.23411055970374
2025,TUR,188.0117423176042
