country_iso3,year_gregorian,year_jalali,emp_pop_ratio,unemployment_rate,participation_rate,employment_thousands,underemployment_rate,informal_rate,vulnerable_employment_pct,working_age_pop_thousands
EGY,1990,1369,45.326,8.434,50.384,14361.4,,,,31684.6842871641
EGY,1991,1370,41.409,9.382,46.716,13826.8,,,20.4516805635983,33390.80876138037
EGY,1992,1371,42.832,8.925,47.186,14398.8,,,20.2575416338376,33616.92192753081
EGY,1993,1372,42.687,10.917,47.885,14703.4,,,20.5312353658559,34444.678707803316
EGY,1994,1373,43.378,10.932,48.879,15241.4,,,19.1251919188961,35136.24417907695
EGY,1995,1374,42.349,11.039,47.925,15344.2,,,18.2385365212143,36232.73276818816
EGY,1996,1375,42.644,9.0,46.599,15768.22,,,17.9435433406455,36976.40934246318
EGY,1997,1376,,8.372,,15830.0,,,17.4984986341697,
EGY,1998,1377,42.309,8.029,46.003,16580.2,,,16.4972000893844,39188.35236001797
EGY,1999,1378,43.739,7.953,47.518,17135.3,,,15.1687118720216,39176.250028578615
EGY,2000,1379,26.939,8.984,29.6,17203.3,,,15.2080365199589,63860.20268012918
EGY,2001,1380,40.772,9.2,44.933,17470.0,,,12.8859939944043,42848.03296379869
EGY,2002,1381,38.867,10.015,43.192,18155.8,,,14.6358912049096,46712.6353976381
EGY,2003,1382,,10.416,,18406.0,,,16.545386030329,
EGY,2004,1383,,10.745,,18619.75,,,18.4951263285982,
EGY,2005,1384,43.948,11.243,49.515,19341.6,,,17.5712834047634,44010.19386547738
EGY,2006,1385,42.043,10.491,46.97,20771.4,,,17.0859528233162,49405.13284018743
EGY,2007,1386,43.707,8.805,47.926,22115.7,,,19.6229515877632,50599.90390555289
EGY,2008,1387,43.501,8.517,47.551,22507.311,,55.727,19.1442282719396,51739.755407921664
EGY,2009,1388,43.549,9.087,47.902,22975.292,,55.407,18.4772205998858,52757.33541527934
EGY,2010,1389,45.045,8.757,49.368,23829.005,,57.638,17.2401565791713,52900.444000444
EGY,2011,1390,43.005,11.849,48.785,23345.812,9.35,58.727,17.3056274608023,54286.27368910592
EGY,2012,1391,42.385,12.597,48.494,23564.393,7.98,55.918,16.0151419528394,55596.067004836616
EGY,2013,1392,42.065,13.154,48.436,23975.13,7.32,57.61,20.5027159795519,56995.435635326285
EGY,2014,1393,41.811,13.105,48.117,24331.249,,,19.6475351963884,58193.41560833274
EGY,2015,1394,40.846,13.052,46.978,24778.768,,59.826,19.6545205453918,60663.87895999609
EGY,2016,1395,40.825,12.45,46.63,25331.181,1.16,61.867,19.7477149647995,62048.20820575627
EGY,2017,1396,39.661,11.767,44.95,26006.18,0.959,63.74,21.5645253336233,65571.16562870327
EGY,2018,1397,39.031,9.855,43.299,26021.022,0.559,,18.9003846679113,66667.57705413646
EGY,2019,1398,38.885,7.851,42.199,26122.61,0.167,67.002,19.5069705952861,67179.14362864858
EGY,2020,1399,38.297,7.974,41.616,26238.958,,,18.4583819298746,68514.3953834504
EGY,2021,1400,39.788,7.441,42.987,27240.999,,,23.6650240780468,68465.36392882276
EGY,2022,1401,39.691,7.344,42.837,27976.39,,,23.0648768584727,70485.47529666674
EGY,2023,1402,41.653,6.753,44.669,29886.073,,71.33,24.2996659219683,71750.10923582935
EGY,2024,1403,45.104,5.945,47.955,32677.758,0.687,68.613,24.0777322521347,72449.80046115644
IRN,1991,1370,33.9,11.1,46.111,13096.61,,,44.6210376717031,38633.06784660767
IRN,1996,1375,40.145,9.1,43.119,14571.572,,,43.9233674389136,36297.35209864242
IRN,2002,1381,,12.8,,,,,43.6469632374301,
IRN,2004,1383,,10.3,,,,,43.3329237427285,
IRN,2005,1384,40.075,11.813,45.444,19847.12,6.955,,43.2518554325576,49524.940736119774
IRN,2006,1385,39.435,11.519,44.569,20201.691,6.511,,43.291895917996,51227.82046405476
IRN,2007,1386,38.956,10.772,43.659,20521.674,5.825,,42.998431267088,52679.109764862915
