series,n_obs,first_ym,last_ym,coverage_pct,internal_gaps
is_ramadan_adjacent,816,1338-01,1405-12,100.0,0
is_nowruz_month,816,1338-01,1405-12,100.0,0
month_cos,816,1338-01,1405-12,100.0,0
month_sin,816,1338-01,1405-12,100.0,0
wb_beverages_index,799,1338-10,1405-04,97.9,0
wb_energy_index,799,1338-10,1405-04,97.9,0
maize,799,1338-10,1405-04,97.9,0
soybean_oil,799,1338-10,1405-04,97.9,0
beef,799,1338-10,1405-04,97.9,0
brent_pinksheet,799,1338-10,1405-04,97.9,0
crude_oil_avg,799,1338-10,1405-04,97.9,0
wheat,799,1338-10,1405-04,97.9,0
wb_food_index,799,1338-10,1405-04,97.9,0
wb_total_index,799,1338-10,1405-04,97.9,0
wb_raw_materials_index,799,1338-10,1405-04,97.9,0
wb_non_energy_index,799,1338-10,1405-04,97.9,0
wb_fertilizers_index,799,1338-10,1405-04,97.9,0
natgas_europe,799,1338-10,1405-04,97.9,0
sugar,799,1338-10,1405-04,97.9,0
gold_pinksheet,799,1338-10,1405-04,97.9,0
wb_agriculture_index,799,1338-10,1405-04,97.9,0
wb_total_index_logdiff,798,1338-11,1405-04,97.8,0
wb_food_index_logdiff,798,1338-11,1405-04,97.8,0
brent_pinksheet_logdiff,798,1338-11,1405-04,97.8,0
wb_energy_index_logdiff,798,1338-11,1405-04,97.8,0
wb_agriculture_index_logdiff,798,1338-11,1405-04,97.8,0
wheat_logdiff,798,1338-11,1405-04,97.8,0
wb_fertilizers_index_logdiff,798,1338-11,1405-04,97.8,0
wb_non_energy_index_logdiff,798,1338-11,1405-04,97.8,0
sugar_logdiff,798,1338-11,1405-04,97.8,0
maize_logdiff,798,1338-11,1405-04,97.8,0
soybean_oil_logdiff,798,1338-11,1405-04,97.8,0
wb_food_index_yoy,787,1339-10,1405-04,96.4,0
wb_fertilizers_index_yoy,787,1339-10,1405-04,96.4,0
soybean_oil_yoy,787,1339-10,1405-04,96.4,0
sugar_yoy,787,1339-10,1405-04,96.4,0
wb_total_index_yoy,787,1339-10,1405-04,96.4,0
wb_energy_index_yoy,787,1339-10,1405-04,96.4,0
brent_pinksheet_yoy,787,1339-10,1405-04,96.4,0
maize_yoy,787,1339-10,1405-04,96.4,0
wheat_yoy,787,1339-10,1405-04,96.4,0
wb_agriculture_index_yoy,787,1339-10,1405-04,96.4,0
wb_non_energy_index_yoy,787,1339-10,1405-04,96.4,0
dap_fertiliser,715,1345-10,1405-04,87.6,0
natgas_index,595,1355-10,1405-04,72.9,0
gold_ounce_usd,560,1358-10,1405-05,68.6,0
gold_ounce_usd_logdiff,559,1358-11,1405-05,68.5,0
gold_ounce_usd_yoy,548,1359-10,1405-05,67.2,0
cpi_headline_wb,252,1383-01,1403-12,30.9,0
cpi_headline_wb_logdiff,251,1383-02,1403-12,30.8,0
cpi_headline_wb_yoy,240,1384-01,1403-12,29.4,0
brent_crude,229,1386-05,1405-05,28.1,0
brent_crude_logdiff,228,1386-06,1405-05,27.9,0
brent_crude_yoy,217,1387-05,1405-05,26.6,0
coin_emami_eom,197,1389-01,1405-05,24.1,0
coin_emami_dmax,197,1389-01,1405-05,24.1,0
coin_emami_dvol,197,1389-01,1405-05,24.1,0
coin_emami,197,1389-01,1405-05,24.1,0
coin_emami_logdiff,196,1389-02,1405-05,24.0,0
coin_emami_h2h1,195,1389-02,1405-04,23.9,0
coin_emami_yoy,185,1390-01,1405-05,22.7,0
usd_free_market,177,1390-09,1405-05,21.7,0
usd_free_market_dvol,177,1390-09,1405-05,21.7,0
usd_free_market_eom,177,1390-09,1405-05,21.7,0
usd_free_market_dmax,177,1390-09,1405-05,21.7,0
usd_depreciation_1m,176,1390-10,1405-05,21.6,0
usd_free_market_h2h1,176,1390-09,1405-04,21.6,0
usd_free_market_logdiff,176,1390-10,1405-05,21.6,0
usd_depreciation_3m,174,1390-12,1405-05,21.3,0
usd_depreciation_6m,171,1391-03,1405-05,21.0,0
eur_free_market,170,1391-04,1405-05,20.8,0
eur_free_market_logdiff,169,1391-05,1405-05,20.7,0
cpi_core_wb,168,1390-01,1403-12,20.6,0
cpi_energy_wb,168,1390-01,1403-12,20.6,0
aed_free_market,168,1391-06,1405-05,20.6,0
gbp_free_market,168,1391-06,1405-05,20.6,0
cpi_core_wb_logdiff,167,1390-02,1403-12,20.5,0
cpi_energy_wb_logdiff,167,1390-02,1403-12,20.5,0
gbp_free_market_logdiff,167,1391-07,1405-05,20.5,0
aed_free_market_logdiff,167,1391-07,1405-05,20.5,0
usd_depreciation_12m,165,1391-09,1405-05,20.2,0
usd_free_market_yoy,165,1391-09,1405-05,20.2,0
coin_gold_ratio,158,1392-04,1405-05,19.4,0
eur_free_market_yoy,158,1392-04,1405-05,19.4,0
coin_bahar,158,1392-04,1405-05,19.4,0
coin_quarter,158,1392-04,1405-05,19.4,0
coin_half,158,1392-04,1405-05,19.4,0
gold_rial_premium,158,1392-04,1405-05,19.4,0
gold_18k,158,1392-04,1405-05,19.4,0
gold_mesghal,158,1392-04,1405-05,19.4,0
gold_18k_dvol,157,1392-05,1405-05,19.2,0
gold_18k_eom,157,1392-05,1405-05,19.2,0
coin_bahar_logdiff,157,1392-05,1405-05,19.2,0
gold_18k_logdiff,157,1392-05,1405-05,19.2,0
gold_18k_dmax,157,1392-05,1405-05,19.2,0
gold_18k_h2h1,156,1392-05,1405-04,19.1,0
cpi_energy_wb_yoy,156,1391-01,1403-12,19.1,0
cpi_core_wb_yoy,156,1391-01,1403-12,19.1,0
aed_free_market_yoy,156,1392-06,1405-05,19.1,0
gbp_free_market_yoy,156,1392-06,1405-05,19.1,0
gold_24k,148,1393-02,1405-05,18.1,0
gold_24k_logdiff,147,1393-03,1405-05,18.0,0
gold_18k_yoy,146,1393-04,1405-05,17.9,0
coin_bahar_yoy,146,1393-04,1405-05,17.9,0
gold_24k_yoy,136,1394-02,1405-05,16.7,0
ppi_wb,122,1386-09,1396-10,15.0,0
ppi_wb_logdiff,121,1386-10,1396-10,14.8,0
ppi_wb_yoy,110,1387-09,1396-10,13.5,0
