year_gregorian,country_iso3,gdp_per_capita_ppp,price_level_ratio_official,price_level_ratio_free
1990,IRN,9656.00116894359,1.4193298209527705,
1991,IRN,10592.3319257222,1.7396843137133788,
1992,IRN,10727.4183671547,2.265558448930795,
1993,IRN,10531.9952777275,0.17152927461940054,
1994,IRN,10333.4330005595,0.16306426017712636,
1995,IRN,10465.0259592685,0.2204113581357676,
1996,IRN,11010.0094976248,0.27840711938560153,
1997,IRN,11025.7202371524,0.315796594657502,
1998,IRN,11101.507869196,0.34179069113345056,
1999,IRN,11163.6950736445,0.4436131507458318,
2000,IRN,11643.1218077696,0.5383953258356503,
2001,IRN,11739.0090911282,0.6082420238282218,
2002,IRN,12583.044990424,0.1951065048310145,
2003,IRN,13519.4501926929,0.18246724413436607,
2004,IRN,13807.1953114023,0.2107858434607725,
2005,IRN,13935.7743087596,0.23600446930261762,
2006,IRN,14320.6568534545,0.25640953304681297,
2007,IRN,15237.4237850549,0.30326799361944545,
2008,IRN,15091.2506521463,0.34976859604328403,
2009,IRN,15055.1494647199,0.3475469247095706,
2010,IRN,15729.9131707266,0.38278178319569883,
2011,IRN,15947.766097961,0.4482603779759161,0.3119849103014713
2012,IRN,15159.2948206531,0.5004754520501825,0.2615606675841848
2013,IRN,14734.740588719,0.4618029644468408,0.2585864595592373
2014,IRN,15262.8515760903,0.3761730032639362,0.3048733495770982
2015,IRN,14841.9048340737,0.3688731952574514,0.31847032317689566
2016,IRN,15920.3718021202,0.38159038834759335,0.33053683515465476
2017,IRN,16167.9677224227,0.39310111713201984,0.33408622845374
2018,IRN,15364.8049052614,0.4141313372526204,0.18972725719290862
2019,IRN,14841.0751514998,0.5606914527529762,0.18629151937009994
2020,IRN,15381.5845437266,0.7846329985119047,0.1542630135506275
2021,IRN,15884.4276775963,1.2020993303571428,0.19393781007720357
2022,IRN,16377.9610645368,1.6955102677422071,0.22544879477923657
2023,IRN,17044.8173442641,2.2447682636167836,0.18790916512170042
2024,IRN,17484.1320140467,,0.1861119659128834
2025,IRN,16833.7821677117,,0.14734671783468795
1990,EGY,8006.62143740129,0.2967977241662213,
1991,EGY,7876.55257552889,0.16467238523889374,
1992,EGY,8034.56230124583,0.1800086667366154,
1993,EGY,8079.05480679221,0.18891258061959856,
