price_usd,discount,q_mbpd,revenue_usd_bn,floor_usd_bn,stability_usd_bn,recovery_usd_bn
50.0,0.05,0.25,4.334375,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,0.5,8.66875,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,0.75,13.003125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,1.0,17.3375,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,1.25,21.671875,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,1.5,26.00625,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,1.75,30.340625,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,2.0,34.675,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,2.25,39.009375,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,2.5,43.34375,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,2.75,47.678125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.05,3.0,52.0125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,0.25,3.878125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,0.5,7.75625,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,0.75,11.634375,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,1.0,15.5125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,1.25,19.390625,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,1.5,23.26875,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,1.75,27.146875,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,2.0,31.025,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,2.25,34.903125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,2.5,38.78125,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,2.75,42.659375,23.379119565649336,43.44576000000001,79.97677973356122
50.0,0.15,3.0,46.5375,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,0.25,6.068125,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,0.5,12.13625,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,0.75,18.204375,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,1.0,24.2725,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,1.25,30.340625,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,1.5,36.40875,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,1.75,42.476875,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,2.0,48.545,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,2.25,54.613125,23.379119565649336,43.44576000000001,79.97677973356122
