series,last_ym,months_behind
ppi_wb,1396-10,103
cpi_core_wb,1403-12,17
cpi_headline_wb,1403-12,17
cpi_energy_wb,1403-12,17
beef,1405-04,1
crude_oil_avg,1405-04,1
dap_fertiliser,1405-04,1
gold_pinksheet,1405-04,1
natgas_europe,1405-04,1
maize,1405-04,1
wb_raw_materials_index,1405-04,1
wb_non_energy_index,1405-04,1
wb_food_index,1405-04,1
wb_total_index,1405-04,1
wb_fertilizers_index,1405-04,1
wb_energy_index,1405-04,1
wb_beverages_index,1405-04,1
wb_agriculture_index,1405-04,1
sugar,1405-04,1
soybean_oil,1405-04,1
natgas_index,1405-04,1
brent_pinksheet,1405-04,1
wheat,1405-04,1
usd_free_market_h2h1,1405-04,1
gold_18k_h2h1,1405-04,1
coin_emami_h2h1,1405-04,1
gold_ounce_usd,1405-05,0
gold_18k,1405-05,0
gold_24k,1405-05,0
gold_mesghal,1405-05,0
aed_free_market,1405-05,0
brent_crude,1405-05,0
coin_bahar,1405-05,0
coin_emami,1405-05,0
gbp_free_market,1405-05,0
coin_quarter,1405-05,0
coin_half,1405-05,0
eur_free_market,1405-05,0
coin_emami_dvol,1405-05,0
coin_emami_eom,1405-05,0
usd_free_market,1405-05,0
coin_emami_dmax,1405-05,0
gold_18k_eom,1405-05,0
gold_18k_dvol,1405-05,0
gold_18k_dmax,1405-05,0
usd_free_market_eom,1405-05,0
usd_free_market_dvol,1405-05,0
usd_free_market_dmax,1405-05,0
usd_depreciation_1m,1405-05,0
usd_depreciation_3m,1405-05,0
usd_depreciation_6m,1405-05,0
usd_depreciation_12m,1405-05,0
gold_rial_premium,1405-05,0
coin_gold_ratio,1405-05,0
