key,label,url,needed_for,status,detail,seconds
sci_home,Statistical Centre of Iran,https://www.amar.org.ir/,"CPI monthly, COICOP, provincial",TIMEOUT,read timeout after 25s,25.6
sci_cpi,SCI - CPI page,https://www.amar.org.ir/gheimat-masraf,CPI download page,TIMEOUT,read timeout after 25s,25.2
sci_en_prices,SCI - price indices (EN),https://www.amar.org.ir/english/Statistics-by-Topic/Price-indices,CPI/PPI English,TIMEOUT,read timeout after 25s,25.2
sci_lfs,SCI - Labour Force Survey,https://www.amar.org.ir/labour-force,"LFS quarterly results (employment, informality)",TIMEOUT,read timeout after 25s,25.2
cbi_home,Central Bank of Iran,https://www.cbi.ir/default_en.aspx,"monetary aggregates, official FX",TIMEOUT,read timeout after 25s,25.4
cbi_tsd,CBI Time Series Database,https://tsd.cbi.ir/,"M2, monetary base, housing index",TIMEOUT,read timeout after 25s,25.4
tgju,TGJU,https://www.tgju.org/,"daily FX, gold, coin",OK,"HTTP 200, 1,668,711 bytes",1.3
bonbast_gh,bonbast GitHub archive,https://raw.githubusercontent.com/SamadiPour/rial-exchange-rates-archive/main/README.md,daily free-market USD/IRR since 2012,OK,"HTTP 200, 9,170 bytes",1.1
tsetmc,TSETMC,https://www.tsetmc.com/,TEDPIX stock index,TIMEOUT,read timeout after 25s,25.5
worldbank,World Bank API,https://api.worldbank.org/v2/country/IRN/indicator/FP.CPI.TOTL.ZG?format=json&per_page=5,"annual inflation, cross-check",OK,"HTTP 200, 1,280 bytes",1.2
wb_inflation_db,World Bank Global Inflation Database,https://thedocs.worldbank.org/en/doc/1ad246272dbbc437c74323719506aa0c-0350012021/original/Inflation-data.xlsx,monthly CPI (the dependent variable),OK,"HTTP 200, 5,591,789 bytes",5.1
fred,FRED,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DCOILBRENTEU,Brent crude,TIMEOUT,read timeout after 25s,25.7
wb_pinksheet,World Bank Pink Sheet,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/related/CMO-Historical-Data-Monthly.xlsx,global commodity prices,OK,"HTTP 200, 778,415 bytes",1.5
ilostat,ILOSTAT API,https://rplumber.ilo.org/data/indicator/?id=UNE_DEAP_SEX_AGE_RT_A&ref_area=IRN&timefrom=2020&format=.csv,"labor force, informality, IRN/EGY/TUR comparison",OK,"HTTP 200, 39,344 bytes",1.1
irandataportal,Iran Data Portal (Syracuse),https://irandataportal.syr.edu/,long-run annual inflation,OK,"HTTP 200, 53,106 bytes",3.8
google_trends,Google Trends,https://trends.google.com/trends/,inflation-expectations proxy,OK,"HTTP 200, 819,780 bytes",1.9
